
## compliance-dock
North wall west [[-6.8, 15.8, 0.0], [-2.3, 16.08, 4.4]]
North wall east [[2.3, 15.8, 0.0], [6.8, 16.08, 4.4]]
South wall west [[-6.8, -0.28, 0.0], [-1.2, 0.0, 4.4]]
South wall east [[1.2, -0.28, 0.0], [6.8, 0.0, 4.4]]
East perimeter wall [[6.8, 0.0, 0.0], [7.08, 15.8, 4.4]]
West perimeter wall [[-7.08, 0.0, 0.0], [-6.8, 15.8, 4.4]]
Office front wall west [[-6.8, 3.52, 0.0], [-5.925, 3.68, 3.05]]
Office front wall mid [[-4.875, 3.52, 0.0], [-4.35, 3.68, 3.05]]
Office front wall east [[-2.67, 3.52, 0.0], [-2.4, 3.68, 3.05]]
Office rear wall west [[-6.8, 9.52, 0.0], [-5.925, 9.68, 3.05]]
Office rear wall east [[-4.875, 9.52, 0.0], [-2.4, 9.68, 3.05]]
Support privacy screen wall [[-2.48, 9.8, 0.0], [-2.32, 14.25, 2.7]]
Roof deck ceiling slab [[-6.8, 0.0, 4.4], [6.8, 15.8, 4.44]]

## condenser-bay
WestWall [[-2.08, -0.14, 0.0], [-1.8, 9.54, 6.0]]
EastWall [[9.6, -0.14, 0.0], [9.88, 9.54, 6.0]]
NorthWall [[-2.08, 9.4, 0.0], [9.88, 9.68, 6.0]]
SouthWall west [[-1.8, -0.28, 0.0], [-1.0, 0.0, 6.0]]
SouthWall east [[1.0, -0.28, 0.0], [9.6, 0.0, 6.0]]
SouthWall header [[-1.0, -0.28, 2.4], [1.0, 0.0, 6.0]]
roof girder bot [[-1.65, 1.14, 5.495], [9.45, 1.36, 5.545]]
roof girder web [[-1.65, 1.235, 5.54], [9.45, 1.265, 5.82]]
roof girder top [[-1.65, 1.14, 5.815], [9.45, 1.36, 5.865]]
roof girder bot.001 [[-1.65, 7.74, 5.495], [9.45, 7.96, 5.545]]
roof girder web.001 [[-1.65, 7.835, 5.54], [9.45, 7.865, 5.82]]
roof girder top.001 [[-1.65, 7.74, 5.815], [9.45, 7.96, 5.865]]
roof girder bot.002 [[-1.65, 8.94, 5.495], [9.45, 9.16, 5.545]]
roof girder web.002 [[-1.65, 9.035, 5.54], [9.45, 9.065, 5.82]]
roof girder top.002 [[-1.65, 8.94, 5.815], [9.45, 9.16, 5.865]]
CD shell [[1.15, 2.825, 1.72], [4.85, 5.275, 4.62]]

## cooling-plant
WestWall [[-5.8, 0.0, 0.0], [-5.5, 13.0, 5.8]]
wall control joint [[-5.491, 0.995, 1.15], [-5.484, 1.005, 5.55]]
wall control joint.001 [[-5.491, 2.995, 1.15], [-5.484, 3.005, 5.55]]
wall control joint.002 [[-5.491, 4.995, 1.15], [-5.484, 5.005, 5.55]]
wall control joint.003 [[-5.491, 6.995, 1.15], [-5.484, 7.005, 5.55]]
wall control joint.004 [[-5.491, 8.995, 1.15], [-5.484, 9.005, 5.55]]
wall control joint.005 [[-5.491, 10.995, 1.15], [-5.484, 11.005, 5.55]]
wall control joint.006 [[-5.491, 12.995, 1.15], [-5.484, 13.005, 5.55]]
roof girder lower flange [[-5.5, 1.485, 5.385], [5.5, 1.715, 5.435]]
roof girder web [[-5.5, 1.587, 5.41], [5.5, 1.613, 5.75]]
roof girder top flange [[-5.5, 1.485, 5.735], [5.5, 1.715, 5.785]]
roof girder lower flange.001 [[-5.5, 5.485, 5.385], [5.5, 5.715, 5.435]]
roof girder web.001 [[-5.5, 5.588, 5.41], [5.5, 5.612, 5.75]]
roof girder top flange.001 [[-5.5, 5.485, 5.735], [5.5, 5.715, 5.785]]
roof girder lower flange.002 [[-5.5, 9.685, 5.385], [5.5, 9.915, 5.435]]
roof girder web.002 [[-5.5, 9.788, 5.41], [5.5, 9.812, 5.75]]
roof girder top flange.002 [[-5.5, 9.685, 5.735], [5.5, 9.915, 5.785]]
roof girder lower flange.003 [[-5.5, 12.785, 5.385], [5.5, 13.015, 5.435]]
roof girder web.003 [[-5.5, 12.887, 5.41], [5.5, 12.912, 5.75]]
roof girder top flange.003 [[-5.5, 12.785, 5.735], [5.5, 13.015, 5.785]]
RearWall [[-5.8, 13.0, 0.0], [5.8, 13.3, 5.8]]
Alcove wall west [[-5.5, 9.9, 0.0], [-4.7, 10.06, 3.3]]
Alcove wall east [[-3.5, 9.9, 0.0], [-1.6, 10.06, 3.3]]
EastWall [[5.5, 0.0, 0.0], [5.8, 13.0, 5.8]]
wall control joint.007 [[5.484, 0.995, 1.15], [5.491, 1.005, 5.55]]
wall control joint.008 [[5.484, 2.995, 1.15], [5.491, 3.005, 5.55]]
wall control joint.009 [[5.484, 4.995, 1.15], [5.491, 5.005, 5.55]]
wall control joint.010 [[5.484, 6.995, 1.15], [5.491, 7.005, 5.55]]
wall control joint.011 [[5.484, 8.995, 1.15], [5.491, 9.005, 5.55]]
wall control joint.012 [[5.484, 10.995, 1.15], [5.491, 11.005, 5.55]]
wall control joint.013 [[5.484, 12.995, 1.15], [5.491, 13.005, 5.55]]

## electrical-room
West wall [[-5.75, 0.0, 0.0], [-5.5, 16.4, 4.8]]
Wall pilaster [[-5.5, 0.875, 0.0], [-5.34, 1.125, 4.8]]
Wall pilaster.001 [[-5.5, 6.575, 0.0], [-5.34, 6.825, 4.8]]
Wall pilaster.002 [[-5.5, 11.375, 0.0], [-5.34, 11.625, 4.8]]
Wall pilaster.003 [[-5.5, 16.025, 0.0], [-5.34, 16.275, 4.8]]
Damp-proof concrete curb [[-5.5, 0.0, 0.0], [-5.36, 16.4, 0.2]]
East structural wall [[5.5, 0.0, 0.0], [5.75, 11.0, 4.8]]
East structural wall.001 [[5.5, 15.4, 0.0], [5.75, 16.4, 4.8]]
Wall pilaster.004 [[5.34, 0.875, 0.0], [5.5, 1.125, 4.8]]
Wall pilaster.005 [[5.34, 6.575, 0.0], [5.5, 6.825, 4.8]]
Wall pilaster.006 [[5.34, 11.375, 0.0], [5.5, 11.625, 4.8]]
Wall pilaster.007 [[5.34, 16.025, 0.0], [5.5, 16.275, 4.8]]
Damp-proof concrete curb.001 [[5.36, 0.0, 0.0], [5.5, 11.0, 0.2]]
Portal wall return [[-5.5, -0.25, 0.0], [-1.2, 0.0, 4.8]]
Portal wall return.001 [[1.2, -0.25, 0.0], [5.5, 0.0, 4.8]]
Portal wall return.002 [[-5.5, 16.4, 0.0], [-1.2, 16.65, 4.8]]
Portal wall return.003 [[1.2, 16.4, 0.0], [5.5, 16.65, 4.8]]
Reserve east wall [[8.3, 10.75, 0.0], [8.55, 15.65, 3.6]]
Reserve south wall [[5.5, 10.75, 0.0], [8.3, 11.0, 3.6]]
Reserve north wall [[5.5, 15.4, 0.0], [8.3, 15.65, 3.6]]

## fuel-corridor
Wall_S16.2_0_-5.4_concrete [[-5.4, 15.86, 0.0], [-1.2, 16.16, 3.0]]
Wall_N18.6_0_-5.4_concrete [[-5.4, 18.64, 0.0], [-1.5, 18.94, 3.0]]
Wall_S1.2_0_-2.2_concrete [[-2.2, 0.86, 0.0], [-1.6, 1.16, 4.4]]
Wall_S1.2_0_-2.2_vertical_web [[-2.105, 1.2, 0.0], [-2.035, 1.36, 4.4]]
Wall_S1.2_0_-2.2_vertical_flange [[-2.175, 1.204, 0.0], [-1.965, 1.232, 4.4]]
Wall_S1.2_0_-2.2_vertical_flange.001 [[-2.175, 1.332, 0.0], [-1.965, 1.36, 4.4]]
Wall_S1.2_0_-2.2_vertical_web.001 [[-1.765, 1.2, 0.0], [-1.695, 1.36, 4.4]]
Wall_S1.2_0_-2.2_vertical_flange.002 [[-1.835, 1.204, 0.0], [-1.625, 1.232, 4.4]]
Wall_S1.2_0_-2.2_vertical_flange.003 [[-1.835, 1.332, 0.0], [-1.625, 1.36, 4.4]]
Wall_S1.2_1_1.6_concrete [[1.6, 0.86, 0.0], [2.2, 1.16, 4.4]]
Wall_S1.2_1_1.6_vertical_web [[1.695, 1.2, 0.0], [1.765, 1.36, 4.4]]
Wall_S1.2_1_1.6_vertical_flange [[1.625, 1.204, 0.0], [1.835, 1.232, 4.4]]
Wall_S1.2_1_1.6_vertical_flange.001 [[1.625, 1.332, 0.0], [1.835, 1.36, 4.4]]
Wall_S1.2_1_1.6_vertical_web.001 [[2.035, 1.2, 0.0], [2.105, 1.36, 4.4]]
Wall_S1.2_1_1.6_vertical_flange.002 [[1.965, 1.204, 0.0], [2.175, 1.232, 4.4]]
Wall_S1.2_1_1.6_vertical_flange.003 [[1.965, 1.332, 0.0], [2.175, 1.36, 4.4]]
Wall_W-2.2_0_1.2_concrete [[-2.54, 1.2, 0.0], [-2.24, 13.2, 4.4]]
Wall_W-2.2_0_1.2_vertical_web [[-2.2, 13.035, 0.0], [-2.04, 13.105, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange [[-2.196, 12.965, 0.0], [-2.168, 13.175, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange.001 [[-2.068, 12.965, 0.0], [-2.04, 13.175, 4.4]]
