00:00.338  blend            | Read blend: "/home/runner/work/critical-shift/critical-shift/sections/mine/blender/gullet/Gullet_MaterialReview.blend"
SOURCE_INVENTORY {"name": "PBR_late_day_sun", "type": "LIGHT", "position": [0.0, 0.0, 0.0], "parent": null, "meta": {}, "energy": 0.8500000238418579, "colour": [1.0, 0.8700000047683716, 0.7099999785423279]}
SOURCE_INVENTORY {"name": "PBR_portal_stone_bounce", "type": "LIGHT", "position": [-3.799999952316284, -3.799999952316284, 3.0], "parent": null, "meta": {}, "energy": 160.0, "colour": [1.0, 0.8500000238418579, 0.6399999856948853]}
SOURCE_INVENTORY {"name": "CSM_Leaf_outer_skin", "type": "MESH", "position": [-4.429999828338623, -0.7910000085830688, 2.369999885559082], "parent": "CSM_Blast_leaf_L", "meta": {"csm_meta": "{\"component\":\"blast_leaf\",\"gate_side\":-1,\"closed_x\":-1.45,\"travel\":-2.98}", "csm_component": "blast_leaf", "csm_gate_side": -1, "csm_closed_x": -1.45, "csm_travel": -2.98, "csm_id": "CSM_Leaf_outer_skin"}, "bounds": [[-5.779999732971191, -0.8184999823570251, 0.31999993324279785], [-3.0799999237060547, -0.7635000348091125, 4.420000076293945]], "materials": ["GULLET_PBR_slate_blue_casing"]}
SOURCE_INVENTORY {"name": "CSM_Leaf_outer_skin.002", "type": "MESH", "position": [4.429999828338623, -0.7910000085830688, 2.369999885559082], "parent": "CSM_Blast_leaf_R", "meta": {"csm_meta": "{\"component\":\"blast_leaf\",\"gate_side\":1,\"closed_x\":1.45,\"travel\":2.98}", "csm_component": "blast_leaf", "csm_gate_side": 1, "csm_closed_x": 1.45, "csm_travel": 2.98, "csm_id": "CSM_Leaf_outer_skin.002"}, "bounds": [[3.0799999237060547, -0.8184999823570251, 0.31999993324279785], [5.779999732971191, -0.7635000348091125, 4.420000076293945]], "materials": ["GULLET_PBR_slate_blue_casing"]}
SOURCE_INVENTORY {"name": "CSM_Dispatch_cart", "type": "EMPTY", "position": [0.0, -8.800000190734863, 0.07999999821186066], "parent": "CSM_ROOT", "meta": {"csm_id": "CSM_Dispatch_cart", "csm_meta": "{\"interaction\":\"push_cart\",\"component\":\"cart_root\",\"rated_mass_game_units\":100,\"rigidbody_pivot\":true}", "csm_interaction": "push_cart", "csm_component": "cart_root", "csm_rated_mass_game_units": 100, "csm_rigidbody_pivot": true}}
SOURCE_INVENTORY {"name": "CSM_Cart_inventory_plate", "type": "EMPTY", "position": [0.0, -9.824999809265137, 1.2300000190734863], "parent": "CSM_Dispatch_cart", "meta": {"csm_id": "CSM_Cart_inventory_plate", "csm_meta": "{\"interaction\":\"push_cart\",\"component\":\"cart_root\",\"rated_mass_game_units\":100,\"rigidbody_pivot\":true}", "csm_interaction": "push_cart", "csm_component": "cart_root", "csm_rated_mass_game_units": 100, "csm_rigidbody_pivot": true}}
SOURCE_INVENTORY {"name": "CSM_Loaded_haulage_cart", "type": "EMPTY", "position": [0.0, 22.700000762939453, -0.48750001192092896], "parent": "CSM_ROOT", "meta": {"csm_id": "CSM_Loaded_haulage_cart", "csm_meta": "{\"interaction\":\"push_cart\",\"component\":\"cart_root\",\"rated_mass_game_units\":100,\"rigidbody_pivot\":true}", "csm_interaction": "push_cart", "csm_component": "cart_root", "csm_rated_mass_game_units": 100, "csm_rigidbody_pivot": true}}
SOURCE_INVENTORY {"name": "CSM_Cart_inventory_plate.002", "type": "EMPTY", "position": [0.0, 21.70406150817871, 0.6877577304840088], "parent": "CSM_Loaded_haulage_cart", "meta": {"csm_id": "CSM_Cart_inventory_plate.002", "csm_meta": "{\"interaction\":\"push_cart\",\"component\":\"cart_root\",\"rated_mass_game_units\":100,\"rigidbody_pivot\":true}", "csm_interaction": "push_cart", "csm_component": "cart_root", "csm_rated_mass_game_units": 100, "csm_rigidbody_pivot": true}}
SOURCE_INVENTORY {"name": "CSM_Cart_chassis_longitudinal", "type": "MESH", "position": [-0.47999998927116394, -8.800000190734863, 0.6449999809265137], "parent": "CSM_Dispatch_cart", "meta": {"csm_meta": "{\"interaction\":\"push_cart\",\"component\":\"cart_root\",\"rated_mass_game_units\":100,\"rigidbody_pivot\":true}", "csm_interaction": "push_cart", "csm_component": "cart_root", "csm_rated_mass_game_units": 100, "csm_rigidbody_pivot": true, "csm_id": "CSM_Cart_chassis_longitudinal"}, "bounds": [[-0.5299999713897705, -9.880000114440918, 0.574999988079071], [-0.429999977350235, -7.720000267028809, 0.7149999737739563]], "materials": ["GULLET_PBR_dark_structural_steel"]}
SOURCE_INVENTORY {"name": "CSM_Cart_chassis_longitudinal.002", "type": "MESH", "position": [0.47999998927116394, -8.800000190734863, 0.6449999809265137], "parent": "CSM_Dispatch_cart", "meta": {"csm_meta": "{\"interaction\":\"push_cart\",\"component\":\"cart_root\",\"rated_mass_game_units\":100,\"rigidbody_pivot\":true}", "csm_interaction": "push_cart", "csm_component": "cart_root", "csm_rated_mass_game_units": 100, "csm_rigidbody_pivot": true, "csm_id": "CSM_Cart_chassis_longitudinal.002"}, "bounds": [[0.429999977350235, -9.880000114440918, 0.574999988079071], [0.5299999713897705, -7.720000267028809, 0.7149999737739563]], "materials": ["GULLET_PBR_dark_structural_steel"]}
SOURCE_INVENTORY {"name": "CSM_Cart_chassis_crossmember", "type": "MESH", "position": [0.0, -8.800000190734863, 0.07999999821186066], "parent": "CSM_Dispatch_cart", "meta": {"csm_meta": "{\"interaction\":\"push_cart\",\"component\":\"cart_root\",\"rated_mass_game_units\":100,\"rigidbody_pivot\":true}", "csm_interaction": "push_cart", "csm_component": "cart_root", "csm_rated_mass_game_units": 100, "csm_rigidbody_pivot": true, "csm_id": "CSM_Cart_chassis_crossmember"}, "bounds": [[-0.6899999976158142, -9.640000343322754, 0.5649999976158142], [0.6899999976158142, -9.539999961853027, 0.675000011920929]], "materials": ["GULLET_PBR_dark_structural_steel"]}
SOURCE_INVENTORY {"name": "CSM_Cart_chassis_crossmember.002", "type": "MESH", "position": [0.0, -8.800000190734863, 0.07999999821186066], "parent": "CSM_Dispatch_cart", "meta": {"csm_meta": "{\"interaction\":\"push_cart\",\"component\":\"cart_root\",\"rated_mass_game_units\":100,\"rigidbody_pivot\":true}", "csm_interaction": "push_cart", "csm_component": "cart_root", "csm_rated_mass_game_units": 100, "csm_rigidbody_pivot": true, "csm_id": "CSM_Cart_chassis_crossmember.002"}, "bounds": [[-0.6899999976158142, -8.0600004196167, 0.5649999976158142], [0.6899999976158142, -7.960000038146973, 0.675000011920929]], "materials": ["GULLET_PBR_dark_structural_steel"]}
SOURCE_INVENTORY {"name": "CSM_Cart_axle", "type": "MESH", "position": [0.0, -8.800000190734863, 0.07999999821186066], "parent": "CSM_Dispatch_cart", "meta": {"csm_meta": "{\"interaction\":\"push_cart\",\"component\":\"cart_root\",\"rated_mass_game_units\":100,\"rigidbody_pivot\":true}", "csm_interaction": "push_cart", "csm_component": "cart_root", "csm_rated_mass_game_units": 100, "csm_rigidbody_pivot": true, "csm_id": "CSM_Cart_axle"}, "bounds": [[-0.7400000095367432, -9.529000282287598, 0.406000018119812], [0.7400000095367432, -9.430999755859375, 0.5040000081062317]], "materials": ["GULLET_PBR_bare_steel"]}
